1,2,39
1,3,22
1,4,59
1,5,54
1,6,33
1,7,57
1,8,32
1,9,89
1,10,73
1,11,29
1,12,46
1,13,16
1,14,83
1,15,120
1,16,45
1,17,24
1,18,32
1,19,36
1,20,25
1,21,38
1,22,16
1,23,43
1,24,21
1,25,50
1,26,57
2,3,20
2,4,20
2,5,81
2,6,8
2,7,49
2,8,64
2,9,63
2,10,84
2,11,10
2,12,61
2,13,25
2,14,49
2,15,81
2,16,81
2,17,58
2,18,16
2,19,72
2,20,60
2,21,78
2,22,24
2,23,69
2,24,18
2,25,75
2,26,88
3,4,39
3,5,74
3,6,18
3,7,60
3,8,44
3,9,71
3,10,73
3,11,11
3,12,46
3,13,6
3,14,61
3,15,99
3,16,61
3,17,37
3,18,10
3,19,51
3,20,40
3,21,59
3,22,5
3,23,62
3,24,7
3,25,57
3,26,78
4,5,93
4,6,27
4,7,51
4,8,81
4,9,48
4,10,80
4,11,30
4,12,69
4,13,45
4,14,32
4,15,61
4,16,97
4,17,75
4,18,31
4,19,89
4,20,78
4,21,97
4,22,44
4,23,83
4,24,38
4,25,84
4,26,100
5,6,73
5,7,43
5,8,56
5,9,104
5,10,76
5,11,76
5,12,77
5,13,69
5,14,111
5,15,72
5,16,46
5,17,56
5,18,84
5,19,49
5,20,53
5,21,33
5,22,69
5,23,12
5,24,69
5,25,64
5,26,7
6,7,45
6,8,61
6,9,71
6,10,88
6,11,8
6,12,63
6,13,22
6,14,57
6,15,87
6,16,77
6,17,54
6,18,18
6,19,68
6,20,56
6,21,71
6,22,20
6,23,61
6,24,13
6,25,75
6,26,80
7,8,85
7,9,88
7,10,115
7,11,52
7,12,103
7,13,60
7,14,75
7,15,64
7,16,85
7,17,79
7,18,63
7,19,83
7,20,78
7,21,70
7,22,58
7,23,38
7,24,52
7,25,103
7,26,49
8,9,74
8,10,43
8,11,55
8,12,23
8,13,40
8,14,81
8,15,97
8,16,17
8,17,8
8,18,50
8,19,8
8,20,7
8,21,23
8,22,41
8,23,53
8,24,48
8,25,19
8,26,53
9,10,38
9,11,69
9,12,51
9,13,75
9,14,16
9,15,35
9,16,75
9,17,77
9,18,61
9,19,77
9,20,80
9,21,90
9,22,76
9,23,116
9,24,76
9,25,58
9,26,98
10,11,81
10,12,28
10,13,72
10,14,53
10,15,55
10,16,38
10,17,49
10,18,70
10,19,42
10,20,50
10,21,53
10,22,75
10,23,83
10,24,80
10,25,24
10,26,69
11,12,55
11,13,16
11,14,57
11,15,91
11,16,71
11,17,48
11,18,11
11,19,62
11,20,50
11,21,68
11,22,14
11,23,64
11,24,9
11,25,67
11,26,81
12,13,44
12,14,59
12,15,81
12,16,32
12,17,26
12,18,46
12,19,29
12,20,29
12,21,45
12,22,47
12,23,76
12,24,53
12,25,15
12,26,73
13,14,67
13,15,105
13,16,56
13,17,33
13,18,16
13,19,46
13,20,35
13,21,53
13,22,2
13,23,57
13,24,9
13,25,54
13,26,72
14,15,39
14,16,88
14,17,82
14,18,51
14,19,87
14,20,85
14,21,103
14,22,67
14,23,113
14,24,65
14,25,70
14,26,109
15,16,84
15,17,104
15,18,90
15,19,93
15,20,104
15,21,90
15,22,104
15,23,82
15,24,99
15,25,79
15,26,70
16,17,23
16,18,67
16,19,9
16,20,21
16,21,15
16,22,57
16,23,48
16,24,64
16,25,19
16,26,41
17,18,44
17,19,14
17,20,3
17,21,25
17,22,34
17,23,51
17,24,41
17,25,25
17,26,54
18,19,58
18,20,47
18,21,67
18,22,16
18,23,72
18,24,15
18,25,59
18,26,88
19,20,12
19,21,16
19,22,48
19,23,48
19,24,55
19,25,19
19,26,45
20,21,22
20,22,36
20,23,48
20,24,43
20,25,26
20,26,51
21,22,54
21,23,33
21,24,59
21,25,33
21,26,31
22,23,57
22,24,7
22,25,56
22,26,72
23,24,57
23,25,66
23,26,18
24,25,63
24,26,74
25,26,59
